字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
𥇔	18867	2899	ʈʰiɑŋʱ		失志
𥇖	1896	214	pʰiui		大目又方[市/巾]切
𥇖	3943	432	pin		大目皃
𥇙	24404	3745	hwək		睡目
𥇛	2613	276	kwio		說文目邪也
𥇜	3954	434	tɕwin		鈍目也又音稕
𥇜	17221	2574	tɕwinʱ		鈍目
𥈃	13996	1964	səű		瞽𥈃舜父
𥈄	14731	2145	ʈʰɣɔŋʱ		直視丑絳切二
𥈆	18471	2813	mɑwʱ		低目細視
𥈆	20363	3215	hiuk		細視
𥈈	2294	254	hwio		𥈈[䁧/瞜]𥬇皃
𥈉	17695	2659	hwɑnʱ		國在流沙東
𥈌	8569	995	ʈʰiu		失意視皃
𥈔	12115	1605	ʔe̋n		視也
𥈔	18051	2730	ʔjienʱ		視皃又於殄切
𥈔	22121	3437	ʔɣɛt		目相戲皃
𥈙	21800	3397	lɑt		目不正
𥈜	24101	3703	hɨk		斜視
𥈸	2306	254	hwio		臿屬又矩于切
𥈼	4854	535	bwɑn		轉目視也
𥈾	22330	3475	ʔwet		目深皃
𥉁	13562	1875	kʰɣwa̋ŋ		𥉁然舉目也苦礦切又音句一
𥉁	15670	2322	kwioʱ		目驚𥉁𥉁然出埤蒼
𥉅	23521	3638	kɣɛk		瞔𥉅
𥉋	8391	981	dəŋ		[𥉋/膡]美目皃
𥉍	1828	204	tɕʰɨ		目汁凝
𥉏	4697	519	kʰɑn		古文看視也苦寒切七
𥉐	11162	1403	he̋		目動
𥉑	20314	3209	jiuk		望也又目明皃
𥉑	23124	3584	ɦɑk		望也
𥉓	1166	122	mjie		𥉓[汗/汙]面皃又莫結切
𥉓	22440	3482	met		[汗/汙]面
𥉔	13566	1877	kɣɛ̋ŋ		𥉔䁅視皃
𥉘	3003	301	de		𥉘視困皃
𥉙	1423	158	ɡi		上同𧡺視也
𥉛	17952	2707	ʔenʱ		視也或作𥍂
𥉨	9058	1048	ʈʰim		[𥉨/𧡬]私出頭視也。又丑鴆切。
𥉴	21168	3313	mit		𥉴𥉴不可測量也
𥉶	20059	3191	luk		𥌮𥉶眼淨也
𥉸	7549	862	kʰɣaŋ		𥉸𥌯視不分明
𥉺	22506	3489	tet		𥉺𥅧
𥉻	16013	2366	tsʰeʱ		視也
𥉻	16422	2415	ʈʰieiʱ		視也
𥉻	22091	3434	tʂʰɣɛt		視𥉻
𥉽	7367	843	kʰɑŋ		[䀹/眏]𥉽目皃
𥊕	23935	3680	tʰek		失意視皃
𥊬	24529	3765	tʂip		淚出皃
𥊮	23493	3636	hɣwɛk		目病
𥊯	22385	3478	ɦet		䁾𥊯目赤
𥊳	12255	1623	tɕie̋n		上同䁴說文曰視而不止
𥊴	16550	2443	swɑiʱ		流盻
𥊸	24326	3728	tʰək		𥊸䁿欲臥也
𥊼	19084	2963	ɖɣaŋʱ		住視
𥊽	4447	484	kwon	older brother	上同昆說文云周人謂兄曰𥊽兄也後也同也又姓夏諸侯昆吾之後戰國策有齊賢者昆辨古渾切二十
