字	廣韻字號	小韻號	IPA	Baxter Sagart gloss (rough meaning only)	廣韻 gloss
侘	18693	2864	ʈʰɣaʱ		侘傺失志見楚詞
侙	24057	3697	ʈʰɨk		意愼侙[-/侙]又惕也
侚	17239	2576	zwinʱ		以身從物
供	629	65	kiowŋ	furnish; serve, offer	奉也具也設也給也進也又居用切
供	14687	2129	kiowŋʱ		設也居用切又居容切二
侜	8733	1013	ʈiu		壅蔽也
依	1975	221	ʔiɨi 	lean upon	倚也禄也於希切八
侣	10610	1325	liɤ̋		伴侣
侮	10796	1355	mwiő	insult (v.)	侮慢也侵也輕也
侯	8832	1017	ɦəu	feudal lord	候也何也美也辝也爾雅曰公侯君也又乃也又周禮司裘氏王大射則共虎侯熊侯豹侯諸侯則共熊侯豹侯卿大夫則共麋侯皆設其鵠鄭司農云方十尺曰侯四尺曰鵠說文本作矦从人从厂象張布之狀矢在其下又姓出上谷河南二望亦漢複姓八氏夏侯氏出自夏禹之後杞𥳑公爲楚所滅其弟佗奔魯魯悼公以佗出自夏后氏受爵爲侯謂之夏侯國而命氏後有去魯之沛者分沛立譙遂有譙魯二望羅國爲楚所滅其後号羅侯氏韓詩外傳云周宣王大夫韓侯子有賢德史記魏有屈侯鮒左傳曹有豎侯[孺/獳]漢有尚書郎栢侯雋吳有張昭師白侯子安又虜三字姓二氏周書有侯莫陳氏侯崇傳云其先魏之别部也又周有大將軍伏侯龍氏名恩户鉤切二十四
侲	3709	401	tɕin		字林云養馬者
侲	17070	2551	tɕinʱ		侲子逐厲鬼童子也
侳	6691	763	tswiɑ		安也子𩩆切二
侳	18588	2839	tswɑʱ		安也有也
侵	9024	1045	tsʰim	invade	漸進也說文作㑴又姓三輔決録有侵恭七林切七
侷	20594	3248	ɡiowk		侷促短小
侸	8967	1029	təu		佔侸垂下皃佔丁兼切
侹	13689	1903	tʰe̋ŋ		長也直也代也敬也
侹	19187	3000	tʰeŋʱ		俓侹直也代也儆也
侺	19652	3101	dʑimʱ		𠐼侺
侻	21983	3420	tʰwɑt		侻可也一曰輕他括切五
便	5377	615	bjien	glib-tongued	辯也僻也安也又姓漢有少府便樂成房連切又去聲九
便	18151	2751	bjienʱ	comfortable; advantageous	利也婢面切又音平聲[-/一]
俁	10754	1351	ŋwiő		俁俁容皃大也詩曰碩人俁俁
係	16037	2369	keʱ	tie (v.)	連係
促	20672	3261	tsʰiowk		近也速也至也迫也七玉切六
俄	6489	731	ŋɑ		俄頃速也
俅	8762	1014	ɡiu		戴也
俆	2138	238	ziɤ		說文緩也
俇	13353	1828	ɡwiɑ̋ŋ		楚詞注云俇俇遑遽皃求往切一
俊	17242	2577	tswinʱ		上同儁智過千人曰儁又羌複姓有儁蒙氏子峻切十二
俋	24470	3756	ɖip		俋俋然耕皃出莊子
俌	10785	1354	pwiő		俌輔也出埤蒼
俌	10838	1357	pʰwiő		輔也又音甫
俍	13426	1842	lɑ̋ŋ		俍偒長皃
俎	10707	1340	tʂiɤ̋		俎豆
俏	18289	2778	tsʰiewʱ		俏[醋/措]好皃
俑	313	29	tʰuŋ		俑偶人又音勇
俑	9886	1180	jiow̋ŋ	grave figures	木人送葬設關而能跳踊故名之出埤蒼
俒	4434	483	ɦwon		全也
俒	17425	2612	ɦwonʱ		全也
俓	5180	588	ŋen		急也又牛耕切
俓	7851	906	ŋɣɛŋ		急也
俓	19153	2993	keŋʱ		直也
俔	12140	1608	ɦe̋n	to be like	譬喻又苦甸切
俔	17922	2704	kʰenʱ		罄也譬也苦甸切八
俕	19686	3109	səmʱ		僋俕蘇紺切四
俖	11401	1458	pʰə̋i		不肯也普乃切二
俗	20679	3262	ziowk	ways, customs; vulgar	風俗說文習也
俘	2521	269	pʰwio		囚也
俙	1973	220	hiɨi 		依俙
俙	10578	1321	hiɨi ̋		僾俙
俚	10451	1295	lɨ̋		賴也聊也又南人蠻屬也
俛	12460	1657	mie̋n	bend the head	俯俛
俜	8067	938	pʰeŋ		見上注又匹正切
俜	19123	2983	pʰieŋʱ		伶俜
保	12876	1727	pɑ̋w	protect	任也安也守也說文作𠈃養也亦姓吕氏春秋云楚有保申爲文王[傳/傅]
俞	2409	261	jwio	yes, agree; satisfied, at ease	然也荅也說文作俞空中木爲舟也又姓又恥呪切
俞	19370	3048	ʈʰiuʱ		姓漢有司徒椽俞連又羊朱切
俟	1940	218	ɡiɨi 		虜複姓北齊有特進万俟普万音墨
俟	10481	1301	ʐɨ̋	wait	待也亦作竢又姓風俗通云有俟子古賢人著書又虜複姓二氏後魏書云俟畿氏後改爲畿氏俟奴氏後改爲俟氏又虜三字姓三氏俟力伐氏後改爲鮑氏俟伏斤氏後改爲伏氏周書太祖賜韓襃姓俟吕陵氏牀史切又音祈[十/七]
俠	25021	3831	ɦep		任俠又姓戰國策有韓相俠累
信	17077	2552	sinʱ	truthful	忠信又驗也極也用也重也誠也又姓魏信陵君無忌之後又漢複姓何氏姓苑有信都信平二氏息晉切十一
修	8559	994	siu	adorn	理也說文飾也
俯	10777	1354	pwiő		上同頫漢書又作俛今音免說文低頭也太史公書頫仰字如此
俰	18585	2838	ɦwɑʱ		和也
俱	2611	276	kwio	all, together	皆也具也又姓南涼錄有將軍俱延
俲	18333	2790	ɦɣawʱ		敎也詩曰是則是傚毛萇云言可法傚也
俳	3342	343	bɣɛi		俳優
俴	12230	1621	dzie̋n	shallow	淺也
俴	12310	1630	tsie̋n		淺也
俵	18324	2787	piewʱ		俵散
俶	20289	3208	tɕʰiuk	commence	始也厚也作也動也昌六切五
俸	9813	1166	pűŋ		屛俸又扶用切
俸	14680	2126	biowŋʱ		俸秩扶用切四
俹	18669	2861	ʔɣaʱ		倚俹
俺	19805	3140	ʔiemʱ		大也
俺	19916	3182	ʔiɐmʱ		大也於劒切八
俻	15019	2207	biʱ		俗備備具也防也咸也皆也副也愼也成也又姓風俗通云宋封人備之後平祕切十七
俾	10144	1225	pjie̋		上同𢔌說文曰益也一曰俾門侍人使也從也職也并弭切十
倀	7239	834	ʈʰiɑŋ		失道皃又狂也。
倀	19074	2960	ʈɣaŋʱ		朚倀失道猪孟切又丑良切五
倃	6218	707	kɑw		毀也
倃	13850	1941	ɡiű		說文毀也
倄	6026	687	ɦɣaw		痛聲
倄	11350	1444	ɦwői		痛而叫也于罪切一
倅	16867	2515	tsʰwoiʱ	assistant	副也[士/七]内切五
倅	21732	3391	tswot		百人爲倅周禮作卒
倇	11725	1526	ʔwiɐ̋n		歡樂
倈	1769	198	lɨ		倈來見楚詞
倉	7330	840	tsʰɑŋ	tshang-kaeng 'oriole'	倉𢈔也亦官名齊職儀曰大倉令周司徒屬官有𢊬人倉人則其職也釋名曰倉藏也藏穀物也漢書曰耿壽昌奏設常平倉又姓黃帝史官倉頡之後七岡切七
個	18545	2825	kɑʱ	piece, item	偏也
倌	4802	530	kwɑn		倌人主駕說文曰小臣也詩云命彼倌人
倌	17781	2676	kɣwanʱ	servant, groom	主駕官也又音官
倍	11414	1465	bə̋i		子本等也薄亥切三
倐	20343	3214	ɕiuk		倐忽犬走疾也
倒	12823	1720	tɑ̋w	turn upside down (v.i.)	仆也都晧切十一
倒	18443	2810	tɑwʱ	turn over, invert; pour	倒懸又當老切
倓	9363	1087	dɑm		恬也安也靜也又徒[監/濫]徒坎二切
倓	14182	2006	də̋m		安也
倓	19749	3124	dɑmʱ		安也靜也恬也亦作澹
倔	21369	3345	ɡiut	strong, unyielding	倔强衢物切九
倕	875	96	dʑwie		重也黃帝時巧人名倕
倖	13572	1879	ɦɣɛ̋ŋ		儌倖
倗	8367	976	bəŋ		輔也又姓漢書王尊傳云南山羣盜倗宗等又匹等切
倗	13747	1924	pʰə̋ŋ		不肯也普等切二
倗	19276	3028	bəŋʱ		輔也父鄧切一
倚	10049	1212	ʔie̋	lean on	依倚也又姓楚左史倚相於綺切五
倚	14842	2172	ʔieʱ		侍也因也加也於義切又於蟻切三
倜	23917	3680	tʰek		倜儻不羈
倝	17543	2639	kɑnʱ	sunrise (Shuowen)	說文曰日始出光倝倝也俗作𣉙
倞	19040	2948	ɡiaŋʱ		強也
借	18753	2876	tsiaʱ	loan, borrow	假借又將昔切
借	23593	3650	tsiek	loan, borrow	假借也又資夜切
倠	1582	177	hjwi		仳倠醜面許維切六
倡	7057	812	tɕʰiɑŋ		樂也優也又音唱
倡	18905	2909	tɕʰiɑŋʱ	to lead (in singing)	籀文
倢	24899	3814	dziep		斜出也又利也便也
倣	13337	1821	pwiɑ̋ŋ		學也
倥	184	21	kʰuŋ		倥侗
倥	9772	1159	kʰűŋ		倥偬事多
倥	14593	2097	kʰuŋʱ		倥偬困皃
倦	18068	2732	ɡwienʱ		疲也猒也懈也說文又作劵勞也或作勌渠卷切五
倧	419	42	tsowŋ		上古神人
倨	15514	2293	kiɤʱ		倨傲
倩	17836	2695	tsʰenʱ		倩利又巧𥬇皃
倩	19104	2976	tsʰieŋʱ		假倩也七政切又七見切二
倪	3080	306	ŋe	young and weak	莊子云天倪自然之分亦姓後漢有楊州刺史倪諺五稽切十八
倫	4004	441	lwin	relationship; order; category	等也比也道也理也又姓風俗通曰黃帝樂人伶倫氏之後
倬	20769	3271	ʈɣɔk		大也
倭	847	92	ʔwie		[愼/順]皃
倭	6666	755	ʔwɑ		東海中國烏禾切七
倭	13059	1754	ʔwɑ̋		倭墮又烏戈切
倯	641	66	siowŋ		倯恭怯皃
倰	8338	970	ləŋ		倰儯長皃
倱	11757	1530	ɦwőn		倱伅四凶之一春秋作混沌
倲	6	1	tuŋ		上同𠍀儱倲儜劣皃出字諟
倳	15280	2257	tʂɨʱ		上同事又置也事刄又作剚倳
值	15254	2252	ɖɨʱ	hold upright	持也措也捨也當也直吏切五
偁	8316	962	tɕʰɨŋ		宣揚美事又言也好也揚也舉也足也
偃	11668	1517	ʔiɐ̋n	bend down	偃仰又息也說文僵也又姓左傳舒庸舒鳩並偃姓於幰切十二
偄	12411	1647	nʑwie̋n		敬也亦弱也
偄	17730	2665	nwɑnʱ		偄弱也奴亂切五
偅	14703	2135	tɕiowŋʱ		儱偅不遇皃
偆	11566	1488	tɕʰwi̋n		厚也富也又癡準切
偆	11573	1490	ʈʰwi̋n		厚也富也癡準切一
假	13110	1768	kɣa̋	borrow; false	且也借也非眞也說文又作徦至也又姓漢有假倉
假	18663	2860	kɣaʱ		借也至也易也休假也又古雅切
偈	16409	2413	ɡieiʱ		偈句其憩切一
偈	22574	3494	ɡiet		武也
偉	10559	1317	ɦiui̋		大也
偋	19131	2986	bieŋʱ		偋隱僻也無人處字統云廁也防正切又蒲徑切二
偎	3420	366	ʔwoi		愛也亦國名
偏	5371	614	pʰjien	oblique; subordinate	不正也鄙也衺也又姓急就章有偏吕張
偏	18135	2746	pʰjienʱ		又音篇
偐	17745	2669	ŋɣanʱ		上同贋僞物
偑	152	17	piuŋ		地名
偒	13398	1839	tʰɑ̋ŋ		長皃
偓	20868	3278	ʔɣɔk		偓促又姓列仙傳有偓佺
偔	23064	3578	ŋɑk		多也
偕	3313	340	kɣɛi	together	俱也
偘	17562	2641	kʰɑnʱ		上同侃正也苦旰切又苦旱切六
偙	15946	2362	teʱ		偙儶
偛	25176	3847	tʂɣɛp		偛㑳小人皃又楚立切
停	8023	934	deŋ	to stop	息也定也止也
偝	16828	2510	bwoiʱ	turn the back on	向借
偞	24845	3809	jiep		偞偞輕薄美好皃
偞	25127	3841	hep		偞卑
偟	7408	845	ɦwɑŋ		偟暇
偠	12533	1670	ʔe̋w		偠㒟好皃
偡	14496	2066	ɖɣɛ̋m		偡然齊整
偤	8522	990	jiu		侍也出文字辨疑
健	17414	2606	ɡiɐnʱ		伉也易曰天行健渠建切二
偩	13823	1937	biű		禮云禮樂偩天地之情
偪	20160	3200	piuk		偪陽宋國
偪	24215	3714	pɨk	to press, urge	上同逼迫也彼側切十
偬	9794	1162	tsűŋ		倥偬
偬	14601	2098	tsuŋʱ		倥偬
偭	12356	1637	mjie̋n		背也
偭	18021	2722	mjienʱ		說文曰郷也禮少儀云尊壺者偭其鼻
偯	10531	1312	ʔiɨi ̋	extended wailing	哭餘聲[庡/㕈]
偰	22239	3467	set		㒝偰淨也
偲	1669	190	sɨ		論語曰朋友切切偲偲
偲	3660	391	tsʰəi		多才能也
偳	4755	524	twɑn		抄偳又音湍
偳	4767	526	tʰwɑn		人名又多丸切
側	24273	3718	tʂɨk	slanting, oblique; side	傍側
偵	7913	915	ʈʰieŋ		偵候又丑鄭切
偵	19076	2960	ʈɣaŋʱ		廉視
偵	19115	2980	ʈʰieŋʱ		偵問
偶	13979	1961	ŋəű	pair, double	合也匹也二也對也諧也
偶	19592	3079	ŋəuʱ		不期也五遘切一
偷	8928	1025	tʰəu	steal	盜也爾雅云佻偷也謂苟且託侯切四
傀	3454	369	kwoi		大皃又美也盛也偉也亦怪異公回切十
傀	11313	1436	kʰwői		俗㚍作傀儡[字/子]也㚍㚍多皃
傂	1131	119	sie		傂祁地名在絳西臨汾水本亦作虒
傂	1210	126	ɖie		佌傂參差也又息移除爾二切
傂	10109	1220	ɖie̋		佌傂參差皃
傃	15860	2350	soʱ		向也
傄	22138	3440	hɣwɛt		呼八切二
傅	15743	2334	pwioʱ	teacher	相也亦姓本自傅說岀傅巖因以爲氏出北地淸河二望
傆	17348	2595	ŋwiɐnʱ		說文黠也
傉	20546	3239	nowk		虜三字姓有庫傉官氏
傋	9938	1193	kɣɔ̋ŋ		𠈵傋不媚皃又虛項切
傋	9954	1199	hɣɔ̋ŋ		虛慃切𠈵傋二
傌	18655	2859	mɣaʱ		齊大夫名
傍	7507	856	bɑŋ	beside; assist	亦作旁側也說文曰近也又羌姓步光切十三
傍	18972	2931	bɑŋʱ	beside; assist	蒲浪切又蒲郞切二
傎	5161	586	ten		同上𠑘𠑘隕也又倒也
傏	7278	837	dɑŋ		傏𠊲不遜
傑	22563	3494	ɡiet	remarkable; hero	英傑特立也又俊也渠列切十四
傒	3062	304	ɦe		東北夷名
傓	18046	2729	ɕienʱ		熾盛
傔	19837	3153	kʰemʱ		傔從苦念切一
傕	20712	3266	kɣɔk		後漢有李傕
傖	7622	872	ɖʐɣaŋ		楚人別種也助庚切五
傗	20474	3226	ʈʰiuk		傗㑉不伸
傘	11870	1553	sɑ̋n	umbrella, parasol	傘蓋
備	15018	2207	biʱ	complete (adj.)	備具也防也咸也皆也副也愼也成也又姓風俗通云宋封人備之後平祕切十七
傛	491	50	jiowŋ		傛華縣也又漢書婦官有傛華
傛	9885	1180	jiow̋ŋ		說文曰不安也又音容
傜	5841	668	jiew	public or military service	使也役也又喜也或作㑾
傝	19682	3108	tʰəmʱ		傝儑不自安又吐盍切
傝	24779	3796	tʰɑp		傝隷亦傝䢇儜劣又傝𠎷不謹皃
傞	6425	726	tsʰɑ		舞不止皃又素何切
傞	6433	728	sɑ		舞不止皃又千何切
傪	9255	1073	tsʰəm		好皃
傪	14219	2011	tsʰə̋m		好皃又音平聲
催	3491	372	tsʰwoi	urge, repress	迫也
傭	484	50	jiowŋ	hire	傭賃又丑凶切
傭	559	58	ʈʰiowŋ		均也直也又音容
傮	6346	717	tsɑw		終也
傱	9920	1184	siow̋ŋ		傱傱走意又先項切
傲	18454	2812	ŋɑwʱ		慢也倨也說文作[敖/𢽅]餘倣此五到切八
傳	5581	639	ɖwien	transmit	轉也又持戀切又丁戀切
傳	18127	2743	ɖwienʱ	what has been transmitted	訓也釋名曰傳傳也以傳示後人也直戀切又直專丁戀二切二
傳	18141	2749	ʈwienʱ	relay post	郵馬釋名曰傳傳也人所止息去後人復來轉轉相傳無常人也又直專直戀二切
傴	10880	1363	ʔwiő	humpback	不伸也尪也荀卿子曰周公傴背於武切三
債	16650	2466	tʂɣɛʱ	debt	徵財側賣切一
債	23452	3632	tʂɣɛk		負財
傶	20549	3240	tsowk		邑名又姓將毒切三
傷	7017	809	ɕiɑŋ	wound	傷損
傷	18844	2897	ɕiɑŋʱ		未成人[-/死]或作殤又音商
傸	13360	1831	tʂʰiɑ̋ŋ		惡也
傺	16413	2415	ʈʰieiʱ		侘傺[又/侘]敕加切
傻	13204	1797	ʂɣwa̋		傻俏不仁
傻	18789	2884	ʂɣwaʱ		傻偢不仁
傾	7962	924	kʰwieŋ	incline (v.)	側也伏也敧也去營切二
傿	17400	2603	ʔiɐnʱ		上同䞁引與爲價又於面切
僀	15942	2362	teʱ		俊也
僁	20964	3289	sit		上同䊝䊝𥻦聲
僁	22238	3467	set		動草聲又云鷙鳥之聲又僁僁呻吟也亦作𠋱
僂	8885	1020	ləu		[軀/傴]僂又力主切
僂	10911	1371	lwiő		僂傴疾也
僂	19579	3076	ləuʱ		僂佝短醜皃
僄	5985	683	pʰjiew		輕也又匹妙切
僄	18270	2775	pʰjiewʱ		僄狡輕迅
僅	17184	2566	ɡinʱ	barely	餘也纔也劣也少也渠遴切十一
僆	12329	1633	lie̋n		畜雙生子
僆	17908	2701	lenʱ		雞未成也
僇	19381	3049	liuʱ		癡行皃
僇	20229	3203	liuk		癡行又音溜
僉	9481	1103	tsʰiem	all; many	咸也皆也
僊	5254	598	sien	immortal	上同仙又僊僊舞皃神仙釋名曰老而不死曰仙仙遷也遷入山也故字從人旁山相然切十二
僋	19678	3108	tʰəmʱ		僋俕癡皃他紺切八
僋	19704	3115	ləmʱ		僋伸皃又僋俕不淨
僎	4034	444	tswin		郷飲[-/酒]禮僎者降席而遵法也或作遵又音撰
僎	12446	1653	ɖʐwie̋n		具也數也持也又子倫切
僎	18121	2741	ɖʐwienʱ		具也
像	13214	1801	ziɑ̋ŋ	image; resemble	似也徐兩切十一
僐	12299	1629	dʑie̋n		說文云作姿也
僐	17992	2717	dʑienʱ		廣雅云姿態
僑	5944	678	ɡiew		寄也客也
僒	11484	1479	ɡwi̋n		上同窘急迫也渠殞切十
僓	11297	1434	tʰwői		長好皃
僓	16907	2520	ɦwoiʱ		長也
僔	11787	1535	tswőn		衆也
僕	20102	3196	buk	charioteer, servant	侍從人也
僕	20519	3234	bowk		僮僕說文曰給事者也漢書曰太僕秦官掌輿馬亦姓風俗通云漢有渾梁侯僕多又虜複姓魏書僕蘭氏後改爲僕氏蒲沃切六
僖	1795	200	hɨ		樂也又姓姓苑云彭城人許其切十五
僗	18485	2814	lɑwʱ		俗勞勞慰又郎刀切
僘	13292	1812	tɕʰiɑ̋ŋ		僘寛也
僙	7431	846	kwɑŋ		僙僙武皃
僚	5698	653	lew	office or position	同官爲僚又姓左傳晉陽氏大夫僚安
僚	12695	1696	lie̋w		朋也又音平聲
僛	1736	195	kʰɨ		醉舞皃
僜	8321	966	ʈʰɨŋ		醉行皃丑升切三
僜	19265	3025	dəŋʱ		倰僜不著事
僝	5000	559	ɖʐɣɛn		僝惡罵也
僝	18124	2741	ɖʐwienʱ		[僝/𠊩]見也具也
僞	14889	2182	ŋwieʱ		假也欺也詐也危睡切一
僟	1959	219	kiɨi 		精也明堂月令曰歳將僟終
僢	11567	1488	tɕʰwi̋n		相背
僣	22369	3477	tʰet		僣侻狡猾
僤	5339	610	dʑien		上同儃態也
僤	11882	1554	dɑ̋n		疾也本音去聲
僤	17538	2638	dɑnʱ		疾也周禮云句兵欲無僤
僥	5727	654	ŋew		僬僥國名人長一尺五寸一云三尺
僦	19395	3051	tsiuʱ		僦賃即就切三
僧	8340	971	səŋ		沙門也梵音云僧伽蘇增切三
僨	17306	2585	piunʱ		僵也
僩	12013	1583	ɦɣa̋n		武猛皃一曰寬大下赧切又音𥳑五
僬	5801	663	dziew		又音焦
僬	5828	665	tsiew		義見僥字
僬	18313	2782	tsiewʱ		行容止皃禮曰庶人僬僬
僭	19833	3150	tsemʱ	err	擬也差也子念切一
僮	21	2	duŋ		僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
僯	11457	1471	li̋n		慙恥
僰	24373	3736	bək		僰道縣在犍爲又丁壯皃亦醜也亦作𧟵又符逼切
僴	12055	1595	kɣɛ̋n		武猛皃
僵	7081	814	kiɑŋ		仆也
僶	11523	1482	mji̋n		僶俛
僸	14146	1995	ŋi̋m		仰頭皃牛錦切又音禁二
僸	19630	3091	kimʱ		北夷樂名又居林切
價	18662	2860	kɣaʱ	price	價數
僻	23760	3665	pʰiek	perverse	誤也邪僻也芳辟切四
僻	23801	3674	pʰek		邪僻
僽	19400	3052	ɖʐiuʱ		僝僽惡言罵也
僾	10533	1312	ʔiɨi ̋		僾俙看不了皃又烏代切
僾	16990	2536	ʔəiʱ	to pant, lose the breath	隱也
僿	15275	2256	ɕɨʱ		史記云小人以僿
儀	984	108	ŋie	right, proper; ceremony	儀容又義也正也亦州名本漢湼縣地秦爲上黨郡武德爲遼州又爲箕州今爲儀州亦姓左傳徐大夫儀楚
儁	17241	2577	tswinʱ		智過千人曰儁又羌複姓有儁蒙氏子峻切十二
儂	406	38	nowŋ		我也
儃	4657	515	dɑn		態也又市連切
儃	5338	610	dʑien		態也
億	24121	3708	ʔɨk	100000	十万曰億又安也度也
儅	7326	839	tɑŋ		止也又丁宕切
儅	18978	2933	tɑŋʱ		不中
儆	13497	1857	kia̋ŋ		上同警寤也戒也居影切八
儆	19042	2948	ɡiaŋʱ		儆愼又音警
儇	5424	620	hjwien	nimble, smart	智也疾也利也慧也又舞皃
儈	16504	2434	kwɑiʱ		合市也晉令儈賣者皆當著巾白帖頟言所儈賣及姓名一足白履一足黒履古外切十八
儉	14377	2040	ɡie̋m	restrict， frugal	約也少也饑饉也又姓出姓苑巨險切二
儊	15613	2312	tʂʰiɤʱ		儊不滑也
儋	9375	1089	tɑm	carry on the shoulder	說文何也亦姓左傳周有大夫儋翩
儌	12499	1665	ke̋w		儌抄
儐	3792	411	pjin		敬也又音殯
儐	17138	2556	pjinʱ		儐相也說文導也必刃切七
儑	19698	3112	ŋəmʱ		傝儑五紺切一
儑	24725	3789	ŋəp		𠉤儑
儑	24813	3801	ŋɑp		傝儑不著事也五盍切二
儒	2343	256	nʑwio		柔也人朱切十六
儓	3586	386	dəi		輿儓
儓	16964	2532	tʰəiʱ		儓儗癡皃
儔	8702	1012	ɖiu		儔侣也直由切二十七
儔	18436	2809	dɑwʱ		隱也
儕	3367	347	ɖʐɣɛi	category, equals	等也輩也類也
儖	9393	1091	lɑm		儖儳形皃惡也
儗	10499	1304	ŋɨ̋		僭也
儗	15366	2273	ŋɨʱ		佁儗不前
儗	16983	2535	ŋəiʱ		儓儗
儗	17027	2543	həiʱ		儓儗癡也海愛切又音礙[-/一]
儛	10794	1355	mwiő	dance (v.)	上同舞歌舞左傳曰舞所以節八音而行八風也周禮曰樂師掌國學之政以敎國子小舞也山海經曰帝[後/俊]八子始爲舞又姓出何氏姓苑
