Index	Baxter	polyhedron
2572	khjinH	khjinh
2573	kjwinH	kjynh
2574	tsywinH	cjynh
2575	swinH	synh
2576	zwinH	zsynh
2577	tswinH	cynh
2578	sywinH	sjynh
2579	nywinH	njynh
2580	zywinH	zsjynh
2581	mjunH	myonh
2582	hjunH	yonh
2583	xjunH	hyonh
2584	phjunH	phyonh
2585	pjunH	pyonh
2586	'junH	qyonh
2587	kjunH	kyonh
2588	gjunH	gyonh
2589	bjunH	byonh
2590	xj+nH	hionh
2591	kj+nH	kionh
2592	gj+nH	gionh
2593	'j+nH	qionh
2594	ngj+nH	ngionh
2595	ngjwonH	ngyanh
2596	'jwonH	qyanh
2597	pjonH	pyanh
2598	khjwonH	khyanh
2599	mjonH	myanh
2600	bjonH	byanh
2601	phjonH	phyanh
2602	kjonH	kianh
2603	'jonH	qianh
2604	xjonH	hianh
2605	xjwonH	hyanh
2606	gjonH	gianh
2607	phjonH	phyanh
2608	hjwonH	yanh
2609	ngjonH	ngianh
2610	gjwonH	gyanh
2611	kjwonH	kyanh
2612	hwonH	ghuonh
2613	twonH	tuonh
2614	swonH	suonh
2615	khwonH	khuonh
2616	nwonH	nuonh
2617	'wonH	quonh
2618	mwonH	muonh
2619	dzwonH	zuonh
2620	kwonH	kuonh
2621	phwonH	phuonh
2622	dwonH	duonh
2623	tshwonH	chuonh
2624	bwonH	buonh
2625	ngwonH	nguonh
2626	lwonH	luonh
2627	pwonH	puonh
2628	xwonH	huonh
2629	tswonH	cuonh
2630	honH	ghonh
2631	konH	konh
2632	ngonH	ngonh
2633	'onH	qonh
2634	hanH	ghanh
2635	thanH	thanh
2636	'anH	qanh
2637	tanH	tanh
2638	danH	danh
2639	kanH	kanh
2640	nganH	nganh
2641	khanH	khanh
2642	xanH	hanh
2643	lanH	lanh
2644	nanH	nanh
2645	tshanH	chanh
2646	sanH	sanh
2647	tsanH	canh
2648	dzanH	zanh
2649	hwanH	ghuanh
2650	tswanH	cuanh
2651	'wanH	quanh
2652	kwanH	kuanh
2653	tshwanH	chuanh
2654	ngwanH	nguanh
2655	dwanH	duanh
2656	lwanH	luanh
2657	twanH	tuanh
2658	thwanH	thuanh
2659	xwanH	huanh
2660	swanH	suanh
2661	manH	muanh
2662	panH	puanh
2663	phanH	phuanh
2664	banH	buanh
2665	nwanH	nuanh
2666	dzwanH	zuanh
2667	khwanH	khuanh
2668	kaenH	kranh
2669	ngaenH	ngranh
2670	'aenH	qranh
2671	sraenH	sranh
2672	haenH	ghranh
2673	maenH	mranh
2674	'waenH	qruanh
2675	hwaenH	ghruanh
2676	kwaenH	kruanh
2677	srwaenH	sruanh
2678	tsrhwaenH	chruanh
2679	ngwaenH	ngruanh
2680	dzraenH	zranh
2681	phaenH	phranh
2682	nrwaenH	nruanh
2683	tsrhaenH	chranh
2684	trhaenH	thranh
2685	keanH	krenh
2686	heanH	ghrenh
2687	beanH	brenh
2688	pheanH	phrenh
2689	hweanH	ghruenh
2690	meanH	mrenh
2691	dreanH	drenh
2692	peanH	prenh
2693	kweanH	kruenh
2694	senH	senh
2695	tshenH	chenh
2696	xwenH	huenh
2697	hwenH	ghuenh
2698	kwenH	kuenh
2699	denH	denh
2700	thenH	thenh
2701	lenH	lenh
2702	kenH	kenh
2703	nenH	nenh
2704	khenH	khenh
2705	henH	ghenh
2706	ngenH	ngenh
2707	'enH	qenh
2708	tsenH	cenh
2709	menH	menh
2710	phenH	phenh
2711	dzenH	zenh
2712	'wenH	quenh
2713	tenH	tenh
2714	xenH	henh
2715	sjenH	sienh
2716	tsyenH	cjenh
2717	dzyenH	zjenh
2718	ngjenH	ngienh
2719	khjienH	khjenh
2720	kjwienH	kjyenh
2721	hjwenH	yenh
2722	mjienH	mjenh
2723	tsyhwenH	chjyenh
2724	ywenH	jyenh
2725	trjenH	trienh
2726	nywenH	njyenh
2727	tsjenH	cienh
2728	tsyhenH	chjenh
2729	syenH	sjenh
2730	'jienH	qjenh
2731	kjwenH	kyenh
2732	gjwenH	gyenh
2733	ljwenH	lyenh
2734	trhjwenH	thryenh
2735	pjenH	pienh
2736	srjwenH	sryenh
2737	tshjwenH	chyenh
2738	bjenH	bienh
2739	zjwenH	zsyenh
